age,replicate,recording,minimum,lq,median,uq,maximum
20,b,r,0.05040000000002465,0.09892999999999574,0.13832000000002154,0.17756999999999934,0.23684000000014294
22,b,r,0.07595999999998071,0.15876999999996144,0.2294600000000102,0.30188999999999533,0.41988000000000625
25,r,r,0.1048799999999801,0.1403799999999933,0.20015999999999678,0.26176999999999095,0.34495999999998617
25,b,r,0.05403999999998632,0.08343999999999241,0.19176000000004478,0.29297999999999647,0.5016799999999648
27,r,r,0.0925200000000359,0.12931999999995014,0.1509200000000135,0.2216,0.27996000000001686
29,r,r,0.0625999999999749,0.07483999999999469,0.1037200000000098,0.12999999999999545,0.16024000000000171
29,b,r,0.0637199999999325,0.08656000000001995,0.11943999999999733,0.1692000000000462,0.24052000000003204
32,r,r,0.05887999999998783,0.0923899999999449,0.11634000000000277,0.13590000000002078,0.1620799999999747
32,b,r,0.05355999999999739,0.1128800000000183,0.1864400000000046,0.31593999999999767,0.3908000000000129
34,r,r,0.07551999999998316,0.09369000000001648,0.10855999999998289,0.12313000000000329,0.14564000000001442
34,b,r,0.050399999999996226,0.13800000000003365,0.2819599999999127,0.3834000000000515,0.5890799999999672
36,r,r,0.2034800000000132,0.21707000000000676,0.2306600000000003,0.24424999999999386,0.2578399999999874
36,b,r,0.05079999999998108,0.08541999999997074,0.13579999999998904,0.4689500000000102,0.6994799999999941
23,r,b,0.14672000000001617,0.28156000000004155,0.4456599999999824,0.6340399999999846,0.7781199999999728
23,b,b,0.4077200000000403,0.4077200000000403,0.4077200000000403,0.4077200000000403,0.4077200000000403
26,b,b,0.08047999999999966,0.11838000000000193,0.17704000000003361,0.28392000000002326,0.3388800000000174
28,r,b,0.06484000000000378,0.23517999999999972,0.32740000000001146,0.4411000000000236,0.6328399999999874
28,b,b,0.05051999999999879,0.09730999999999268,0.14838000000001728,0.2892699999999735,0.4351599999999962
30,r,b,0.05852000000000146,0.15183999999999997,0.20984000000004244,0.2752099999999871,0.3247999999999962
33,r,b,0.0836400000000026,0.14022000000000467,0.2229600000000005,0.33513999999998845,0.5050000000000239
35,r,b,0.05711999999999762,0.17172000000005028,0.30000000000001137,0.3854399999999991,0.6075200000000223
37,r,b,0.055839999999875545,0.11113000000003126,0.15860000000003538,0.22350000000001202,0.3257600000000025
40,r,b,0.12264000000004671,0.1815199999999777,0.23703999999999326,0.4009199999999993,0.5510000000000446
18,r,k,0.16596000000001254,0.2230600000000038,0.28894000000001796,0.4598600000000168,0.5319200000000137
34,r,k,0.058559999999999945,0.13016000000001782,0.2612000000000023,0.4051199999999966,0.565039999999982
37,r,k,0.31680000000000064,0.3781600000000367,0.42072000000000287,0.457080000000019,0.5343999999999482
37,b,k,0.053799999999966985,0.07483999999999469,0.12252000000000862,0.25292000000001735,0.3886400000000094
39,r,k,0.11520000000001573,0.11930000000000263,0.1331599999999895,0.14389999999999858,0.14695999999999287
39,b,k,0.05111999999999739,0.13905000000004009,0.4536600000000135,0.9870500000000053,1.2320799999999963
41,r,k,0.05915999999996302,0.1257499999999574,0.1849799999999746,0.2359199999999788,0.2602399999999534
41,b,k,0.08683999999999514,0.1712399999999974,0.25819999999999865,0.36209999999992704,0.4087999999999852
44,r,k,0.050360000000000404,0.14620000000000744,0.28499999999996817,0.35903999999999314,0.47372000000001435
44,b,k,0.4073999999999387,0.4871700000000203,0.5389800000000093,0.5847900000000195,0.5888400000000047
46,r,k,0.051639999999991915,0.1809900000000102,0.30921999999998917,0.37022999999997097,0.503840000000082
46,b,k,0.05099999999998772,0.06020000000000891,0.538599999999974,0.7728400000000022,0.9499200000000201
48,r,k,0.05119999999996594,0.11415000000008035,0.16409999999999414,0.21307000000001608,0.282320000000027
48,b,k,0.08376000000009753,0.19903999999996813,0.34056000000001063,0.6116800000000353,0.9556799999999726
